Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,latitude,longitude,ABN 2,ACN,Employees,Established,Licence No.,ABN Status,ABN,ABN Type,Country,Banner,Corporate,Corporate 2
South Yarra Pharmacy,Chemist & Pharmacy Stores,81-83 Toorak Rd,South Yarra,VIC,3141,(03) 9820 4101,http://southyarrapharmacy.com.au/,"info@southyarrapharmacy.com.au,southyarrapharmacy1@gmail.com,platinum.service@signet.com.au,info@southyarrapharmacy.com.au",,-37.838524,144.98918,61 828 399 049,,,,,Active,91 600 310 576,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Shepparton Amcal Pharmacy,Chemist & Pharmacy Stores,310- 312 Wyndham St,Shepparton,VIC,3630,(03) 5821 2596,sheppartonpharmacy.com.au,info@sheppartonpharmacy.com.au,,-36.38003,145.39906,49 375 477 101,,21-50,1979,Diabetes Australia NDSS,Active,49 375 477 101,Business Name,AUS,Amcal,SIG,Mergeco
Cate's Chemist Hyde Park,Chemist & Pharmacy Stores,87 Charters Towers Rd,Hyde Park,QLD,4812,(07) 4417 3404,www.cateschemist.com.au,"garbutt@cateschemist.com.au,hydepark@cateschemist.com.au,taihs@cateschemist.com.au,headoffice@cateschemist.com.au,hydepark@cateschemist.com.au",,-19.274623,146.801106,28 626 453 152,143 699 987,,,,Active,77 616 990 973,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Fountain St Chemist,Chemist & Pharmacy Stores,2-10 Fountain St,Alexandria,NSW,2015,(02) 8095 0312,http://www.fountainstchemist.com.au,fountainstchemist@hotmail.com,,-33.902629,151.194928,,,,,,Active,56 142 235 185,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Coomera Square Chempro Chemist,Chemist & Pharmacy Stores,"Shop B 5, Coomera City Centre, 31-39 Kristins Lane",Upper Coomera,QLD,4209,(07) 5573 1407,www.chempro.com.au,"chemproonline@chempro.com.au,coomerasquare@chempro.com.au",,-27.852024,153.299838,,,,,Natural health,Active,68 552 043 248,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Q Super Centre Chempro Chemist,Chemist & Pharmacy Stores,"Shop C 26- C 30, Q Super Centre, Cnr Bermuda and Markeri St",Mermaid Waters,QLD,4219,(07) 5578 6933,www.chempro.com.au,"chemproonline@chempro.com.au,mermaidwaters@chempro.com.au",,-28.048321,153.407197,,,,,,Active,39 664 376 640,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Friendly Pharmacy,Chemist & Pharmacy Stores,15/380 Pennant Hills Rd,Pennant Hills,NSW,2120,(02) 9648 0307,http://www.friendlypharmacy.com.au/,admin@friendlypharmacy.com.au,,-33.739162,151.068907,,,,,,Active,38 087 822 151,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bluewater Pharmacy,Chemist & Pharmacy Stores,2 Purono Pkwy,Yabulu,QLD,4818,(07) 4778 6233,https://www.bluewaterpharmacy.com.au/,"admin@bluewaterpharmacy.com.au,frank@bluewaterpharmacy.com.au,admin@bluewaterpharmacy.com.au",,-19.180333,146.587459,,,,1996,,Active,65 331 381 085,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
All Saints Pharmacy,Chemist & Pharmacy Stores,393 Burwood Rd,Belmore,NSW,2192,(02) 9759 2624,,,,-33.91809,151.0891,,,,,,Active,90 155 496 307,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Amcal Max Night & Day Casuarina,Chemist & Pharmacy Stores,,Casuarina,NT,0811,(08) 8927 7857,www.amcalmaxcasuarina.com.au,casuarina@amcal.net.au,,-12.3756503,130.8822128,30 009 626 377,,,1984,,Active,30 009 626 377,Business Name,AUS,Amcal,SIG,Mergeco
Amcal Pharmacy Craigieburn,Chemist & Pharmacy Stores,340 Craigeburn Rd,Craigieburn,VIC,3064,(03) 9308 4981,,,,-37.592502,144.912461,,,,,,Active,33 165 288 157,Business Name,AUS,Amcal,SIG,Mergeco
Andrews Pharmacy,Chemist & Pharmacy Stores,23 Mackenzie Ave Off Reddall Parade,Mt Warrigal,NSW,2528,(02) 4297 7197,,,,-34.548005,150.837141,,,,,,Active,56 348 106 233,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Andrews Pharmacy,Chemist & Pharmacy Stores,23 Mackenzie Ave (Off Reddall Parade),Mt Warrigal,NSW,2528,(02) 4297 7197,,,,-34.548005,150.837141,,,,,,Active,56 348 106 233,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Andrews Pharmacy,Chemist & Pharmacy Stores,132 Burdekin Dr,Albion Park,NSW,2527,(02) 4256 8820,,,,-34.588225,150.786228,,,,,,Active,56 348 106 233,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Andrews Pharmacy,Chemist & Pharmacy Stores,437 Princess Highway,Corrimal,NSW,2518,(02) 4284 4445,,andrewpharm@hotmail.com,,-34.38241,150.89481,,,,,,Active,56 348 106 233,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Argyle Street Pharmacy,Chemist & Pharmacy Stores,"Shop 13, Westfield Shoppingtown",Parramatta,NSW,2150,(02) 9687 7401,,aspharm@bigpond.net.au,,-33.815237,151.003125,,,,,,Active,13 625 220 135,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
ASP Medical,Chemist & Pharmacy Stores,,Parramatta,NSW,2150,(02) 9687 7401,https://www.aspmedical.com.au/,contact@aspmedical.com.au,,-33.8152373,151.003125,13 625 220 135,625 220 135,Nov-20,,,Active,13 625 220 135,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Atkinsons Armadale Pharmacy,Chemist & Pharmacy Stores,201 Jull St,Armadale,WA,6112,(08) 9399 2162,,,,-32.152267,116.014439,,,,,,Active,18 314 287 390,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Atrium Plaza Pharmacy,Chemist & Pharmacy Stores,,Herston,QLD,4006,(07) 3854 0474,,atrium@nunet.com.au,,-27.4478507,153.0291483,77 030 430 931,,1-Oct,,,Active,82 101 682 268,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Avoca Beach Pharmacy,Chemist & Pharmacy Stores,174 Avoca Dr,Avoca Beach,NSW,2251,(02) 4382 1314,,,,-33.465595,151.432884,,,,,,Active,97 224 061 148,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bacchus Marsh Village UFS Pharmacy,Chemist & Pharmacy Stores,"Shop 66, Bacchus Marsh Village, Main Street",Bacchus Marsh,VIC,3340,(03) 5367 8600,www.ufs.com.au/stores/bacchus-marsh-village-ufs-pharmacy,bmarshvillage@ufs.com.au,,-37.675077,144.439473,49 087 822 259,,,,,Active,49 087 822 259,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Balgownie Village Pharmacy,Chemist & Pharmacy Stores,158 Balgownie Rd,Balgownie,NSW,2519,(02) 4284 4027,,,,-34.388371,150.877846,,,,,,Active,35 606 917 899,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bamaga Pharmacy,Chemist & Pharmacy Stores,Lot 105 Adidi St,Bamaga,QLD,4876,(07) 4083 0224,https://www.facebook.com/BamagaPharmacy/,manager@bamagapharmacy.com.au,,-10.88955,142.387845,,,,,,Active,32 781 986 259,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Barts The Chemist,Chemist & Pharmacy Stores,330 South Rd,Hampton East,VIC,3188,(03) 9555 3292,,bartsthechemist@nunet.com.au,,-37.933165,145.031666,,,,,,Active,13 560 680 474,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bayview Pharmacy,Chemist & Pharmacy Stores,10 Marine Tce,Burnie,TAS,7320,(03) 6431 1077,,,,-41.052322,145.907713,,,,,,Active,57 663 521 938,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bayview Pharmacy,Chemist & Pharmacy Stores,Shop 7 101 Valley Way,Mt Cotton,QLD,4165,(07) 3829 9300,,,,-27.636905,153.24872,,,,,,Active,57 663 521 938,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bayview Pharmacy,Chemist & Pharmacy Stores,Bayview Shopng Cntr Shop 7 Valley Way,Mt Cotton,QLD,4165,(07) 3829 9300,,,,-27.636393,153.243796,63 633 756 198,,,,,Active,57 663 521 938,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Beaumaris Pharmacy,Chemist & Pharmacy Stores,1A East Con,Beaumaris,VIC,3193,(03) 9589 2676,,,,-37.986171,145.034468,,,,,,Active,44 995 328 293,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
BioPharm Compounding,Chemist & Pharmacy Stores,Ground Floor 34 High St,Southport,QLD,4215,(07) 5555 7505,,,,-27.97042,153.40987,,,,,,Active,11 108 276 133,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Black & White Pharmacy,Chemist & Pharmacy Stores,337 Hume Hwy,Liverpool,NSW,2170,(02) 9602 3145,,,,-33.93076,150.9172,,,,,,Active,12 995 149 717,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Blairgowrie Pharmacy,Chemist & Pharmacy Stores,2823 Point Nepean Rd,Blairgowrie,VIC,3942,(03) 5988 8845,,blairgowrie.pharmacy@nunet.com.au,,-38.361523,144.779654,81 388 079 500,,,,,Active,81 388 079 500,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Blues Point Pharmacy,Chemist & Pharmacy Stores,1/ 137 Blues Point Rd,McMahons Point,NSW,2060,(02) 8920 1120,,,,-33.8440409,151.2044693,,,,,,Active,27 525 547 953,Other Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Boulevarde Pharmacy,Chemist & Pharmacy Stores,170 The Boulevarde,Fairfield Heights,NSW,2165,(02) 9724 2211,,,,-33.864758,150.938715,,,,,,Active,88 657 226 509,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bracken Ridge Pharmacy,Chemist & Pharmacy Stores,Shop 1 154 Barrett St,Bracken Ridge,QLD,4017,(07) 3269 0788,,brpharmacy1@hotmail.com,,-27.31946,153.04199,,,,,,Active,55 062 580 445,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Bremer Bay Pharmacy,Chemist & Pharmacy Stores,7 Mary St,Bremer Bay,WA,6338,(08) 9837 4942,http://www.jerramungup.wa.gov.au/directory/doctors-dentists-medical-centres-health-services-pharmacies/136/,bremerbaypharmacy@gmail.com,,-34.392349,119.379011,,,,,,Active,57 656 504 228,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Broadwater Pharmacy,Chemist & Pharmacy Stores,15 Brisbane Rd,Biggera Waters,QLD,4216,(07) 5537 1097,,,,-27.93723,153.405886,,,,,,Active,73 285 692 936,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Broadway Fair Pharmacy,Chemist & Pharmacy Stores,Shop 22 / 88 Broadway,Crawley,WA,6009,(08) 9386 1355,,stockcontrol@broadwayfairpharmacy.com.au,,-31.98389,115.81509,,,,,,Active,55 046 797 195,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Burdekin Park Pharmacy,Chemist & Pharmacy Stores,94 George St,Singleton,NSW,2330,(02) 6572 1481,,,,-32.563383,151.176623,,,,,,Active,19 937 656 753,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Burnley Pharmacy,Chemist & Pharmacy Stores,394 Burnley St,Richmond,VIC,3121,(03) 9428 2006,https://www.facebook.com/pg/Burnley-Pharmacy-551447385059007/about/?ref=page_internal,,,-37.82596,145.00685,,,,,,Active,87 172 465 739,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Cabramatta East Day & Night Pharmacy,Chemist & Pharmacy Stores,139 Cabramatta Rd,Cabramatta,NSW,2166,(02) 9725 6388,,,,-33.895059,150.939683,,,,,,Active,44 626 251 410,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Cain's Pharmacy,Chemist & Pharmacy Stores,63 Yandilla St,Pittsworth,QLD,4356,(07) 4693 1028,,,,-27.715373,151.635075,97 020 893 459,,1-Oct,,,Active,80 460 633 873,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Callaghan Campus Pharmacy,Chemist & Pharmacy Stores,"Shop 110b Shortland Building,Union Lane, University Of Newcastle Callaghan Nsw 230",Callaghan,NSW,2308,(02) 4968 8070,www.ccpharmacy.com.au,admin@ccpharmacy.com.au,,-32.896989,151.700715,79 310 424 126,,,2013,,Active,89 001 589 859,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Calwell Pharmacy,Chemist & Pharmacy Stores,12 Sangster Pl,Wanniassa,ACT,2903,(02) 6292 8200,,,,-35.391278,149.0855,,,,,,Active,31 394 188 662,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Canley Vale Pharmacy,Chemist & Pharmacy Stores,10 Canley Vale Rd,Canley Vale,NSW,2166,(02) 9724 1807,,,,-33.887346,150.942849,86 293 476 236,,,,,Active,17 135 549 664,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Caringbah Pharmacy,Chemist & Pharmacy Stores,Shop 1 42 President Ave,Caringbah,NSW,2229,(02) 9524 9121,,,,-34.04319,151.12102,,,,,,Active,88 598 377 595,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Carlingford Mediadvice Pharmacy,Chemist & Pharmacy Stores,Shop 1/ 326 Pennant Hills Rd,Carlingford,NSW,2118,(02) 9871 4272,,,,-33.783201,151.047993,,,,,,Active,49 613 621 005,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Carlton Day & Night Chemist,Chemist & Pharmacy Stores,307A Princes Hwy,Carlton,NSW,2218,(02) 9587 5759,,,,-33.976123,151.125433,,,,,,Active,97 532 652 664,Business Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Carrig Chemists,Chemist & Pharmacy Stores,,Park Holme,SA,5043,(08) 8374 0400,,,,-34.9947832,138.5536446,,,,,,Active,82 007 516 976,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Carrig Chemists,Chemist & Pharmacy Stores,Arnald Centre,Kilkenny,SA,5009,(08) 8268 2504,,,,-34.87377,138.54947,,,,,A range of products and services,Active,82 007 516 976,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Centennial Plaza Pharmacy,Chemist & Pharmacy Stores,300 Elizabeth St,Surry Hills,NSW,2010,(02) 9281 9331,,,,-33.883049,151.208828,,,,,,Active,14 543 257 260,Trading Name,AUS,Independents & Minors,Independents & Minors,Independents & Minors
Chemist Warehouse Bendigo,Chemist & Pharmacy Stores,43 Mitchell St,Bendigo,VIC,3550,(03) 5443 4988,,,,-36.76068,144.280141,,,,,,Active,74 557 268 164,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Brunswick,Chemist & Pharmacy Stores,429- 433 Sydney Rd,Brunswick,VIC,3056,(03) 9380 5657,,,,-37.767261,144.96164,,,,,,Active,84 423 476 810,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Craigieburn,Chemist & Pharmacy Stores,Shop 5 1 to 9 Mareeba Way,Craigieburn,VIC,3064,(03) 9303 8022,https://www.chemistwarehouse.com.au/,,,-37.583274,144.919551,,,,,,Active,69 896 636 024,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Eaglehawk,Chemist & Pharmacy Stores,162- 170 Eaglehawk Rd,Long Gully,VIC,3550,(03) 5441 1255,,,,-36.746123,144.258314,,,,,,Active,38 417 071 447,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Epping,Chemist & Pharmacy Stores,Shop 15/ 371 Dalton Rd,Epping,VIC,3076,(03) 9408 8944,,,,-37.65907,145.03,,,,,,Active,83 811 096 289,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Epping,Chemist & Pharmacy Stores,58 Rawson St,Epping,NSW,2121,(02) 9876 5536,,,,-33.77249,151.08089,,,,,,Active,83 811 096 289,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Epping (VIC),Chemist & Pharmacy Stores,"Shop 15 Dalton Village Shopping Centre, 371 Dalton Rd",Epping,VIC,3076,(03) 9408 8944,,,,-37.658952,145.029888,,,,,,Active,14 609 428 552,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Epping Homemaker Centre,Chemist & Pharmacy Stores,Shop 11 560-650 High St,Epping,VIC,3076,(03) 9408 6363,https://rsvp.chemistwarehouse.com.au/,info@chemistwarehouse.com.au,,-37.654084,145.023801,,,,,,Active,37 411 957 108,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Glen Waverley,Chemist & Pharmacy Stores,263 Springvale Rd,Glen Waverley,VIC,3150,(03) 9802 9977,,,,-37.87918,145.16541,,,,,,Active,90 960 476 273,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Greensborough,Chemist & Pharmacy Stores,48-50 Main St,Greensborough,VIC,3088,(03) 9435 7455,https://www.chemistwarehouse.com.au/,,,-37.703925,145.104234,,,,,,Active,44 087 648 913,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Moonee Ponds,Chemist & Pharmacy Stores,88- 92 Puckle St,Moonee Ponds,VIC,3039,(03) 9375 4300,,,,-37.76655,144.921802,,,,,,Active,44 087 648 913,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Neutral Bay,Chemist & Pharmacy Stores,Sh 1 to 3 154 to 158 Military Rd,Neutral Bay,NSW,2090,(02) 9953 5465,https://www.chemistwarehouse.com.au/,,,-33.830423,151.221131,,,,,,Active,22 396 743 416,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Northfield,Chemist & Pharmacy Stores,329 Hampstead Rd,Northfield,SA,5085,(08) 8262 9733,,,,-34.851607,138.617942,,,,,,Active,21 769 521 536,Other Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Pennant Hills,Chemist & Pharmacy Stores,108 To 110 Yarrara Road,Pennant Hills,NSW,2120,(02) 9484 1055,https://www.chemistwarehouse.com.au,info@chemistwarehouse.com.au,,-33.738658,151.071104,,,,,,Active,53 574 428 848,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Strathfield,Chemist & Pharmacy Stores,"Shop 1, 56-60 The Boulevarde",Strathfield,NSW,2135,(02) 9475 4330,,,,-33.874561,151.094217,,,,,,Active,54 164 032 660,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
Chemist Warehouse Sunshine,Chemist & Pharmacy Stores,292 Hampshire Rd,Sunshine,VIC,3020,(03) 9311 1300,,,,-37.784121,144.832596,,,,,,Active,37 558 263 105,Business Name,AUS,Chemist Warehouse,CWG,Mergeco
